"날짜","동작","학생 이름","바코드","제목","저자","AR Level"
"2026-08-22 20:14:56","대출","아정말","14623-0016","Joe and Betsy the Dinosaur","Hoban, Lillian","2.3"
"2026-08-22 20:42:05","대출","김형일","7316-0090","Grizzwold","Hoff, Syd","2"
"2026-08-22 20:50:42","반납","김형일","7316-0090","Grizzwold","Hoff, Syd","2"
"2026-08-22 23:41:06","대출","김형일","7316-0090","Grizzwold","Hoff, Syd","2"
"2026-08-22 23:41:54","반납","김형일","7316-0090","Grizzwold","Hoff, Syd","2"
"2026-08-23 00:08:35","반납","아정말","14623-0016","Joe and Betsy the Dinosaur","Hoban, Lillian","2.3"
"2026-08-23 00:09:12","대출","정송이","7316-0090","Grizzwold","Hoff, Syd","2"
"2026-08-23 00:09:24","반납","정송이","7316-0090","Grizzwold","Hoff, Syd","2"
"2026-08-23 00:12:59","대출","정송이","14623-0016","Joe and Betsy the Dinosaur","Hoban, Lillian","2.3"
"2026-08-23 00:13:12","반납","정송이","14623-0016","Joe and Betsy the Dinosaur","Hoban, Lillian","2.3"
"2026-08-23 00:13:40","대출","정송이","7316-0090","Grizzwold","Hoff, Syd","2"
"2026-08-23 00:13:53","반납","정송이","7316-0090","Grizzwold","Hoff, Syd","2"
"2026-08-23 00:28:04","대출","정송이","7316-0090","Grizzwold","Hoff, Syd","2"
"2026-08-23 00:39:12","반납","정송이","7316-0090","Grizzwold","Hoff, Syd","2"
"2026-08-23 00:47:33","대출","김형일","7316-0090","Grizzwold","Hoff, Syd","2"
"2026-08-23 00:48:33","반납","김형일","7316-0090","Grizzwold","Hoff, Syd","2"
"2026-08-23 01:08:55","대출","김형일 (0626)","7316-0090","Grizzwold","Hoff, Syd","2"
"2026-08-23 01:43:51","반납","김형일 (0626)","7316-0090","Grizzwold","Hoff, Syd","2"
"2026-08-23 02:01:25","대출","김형일 (0626)","7316-0090","Grizzwold","Hoff, Syd","2"
"2026-08-23 02:04:20","대출","정송이 (8499)","14623-0016","Joe and Betsy the Dinosaur","Hoban, Lillian","2.3"
"2026-08-23 02:35:06","반납","김형일 (0626)","7316-0090","Grizzwold","Hoff, Syd","2"
"2026-08-23 02:35:09","반납","정송이 (8499)","14623-0016","Joe and Betsy the Dinosaur","Hoban, Lillian","2.3"
